AÑO;MES;DIA;REGION;COMUNA;TOTAL
2021;8;5;I Región de Tarapacá;IQUIQUE;19
2021;2;10;I Región de Tarapacá;IQUIQUE;14
2021;5;7;I Región de Tarapacá;IQUIQUE;16
2021;11;23;I Región de Tarapacá;IQUIQUE;16
2021;3;10;I Región de Tarapacá;IQUIQUE;10
2021;1;28;I Región de Tarapacá;ALTO HOSPICIO;1
2021;5;24;I Región de Tarapacá;IQUIQUE;32
2021;12;17;I Región de Tarapacá;IQUIQUE;26
2021;1;4;I Región de Tarapacá;PICA;1
2021;11;8;I Región de Tarapacá;IQUIQUE;28
2021;12;27;I Región de Tarapacá;IQUIQUE;25
2021;4;9;I Región de Tarapacá;ALTO HOSPICIO;1
2021;2;23;I Región de Tarapacá;IQUIQUE;19
2021;3;22;I Región de Tarapacá;IQUIQUE;21
2021;9;10;I Región de Tarapacá;IQUIQUE;21
2021;3;18;I Región de Tarapacá;IQUIQUE;10
2021;7;8;I Región de Tarapacá;IQUIQUE;13
2021;6;29;I Región de Tarapacá;POZO ALMONTE;1
2021;8;3;I Región de Tarapacá;IQUIQUE;23
2021;11;8;I Región de Tarapacá;POZO ALMONTE;2
2021;2;8;I Región de Tarapacá;ALTO HOSPICIO;1
2021;9;2;I Región de Tarapacá;IQUIQUE;12
2021;5;5;I Región de Tarapacá;IQUIQUE;15
2021;4;9;I Región de Tarapacá;IQUIQUE;18
2021;7;19;I Región de Tarapacá;IQUIQUE;32
2021;4;30;I Región de Tarapacá;IQUIQUE;16
2021;2;3;I Región de Tarapacá;IQUIQUE;12
2021;2;8;I Región de Tarapacá;IQUIQUE;27
2021;6;2;I Región de Tarapacá;IQUIQUE;13
2021;12;23;I Región de Tarapacá;IQUIQUE;21
2021;7;5;I Región de Tarapacá;IQUIQUE;24
2021;11;26;I Región de Tarapacá;IQUIQUE;21
2021;9;14;I Región de Tarapacá;POZO ALMONTE;1
2021;6;7;I Región de Tarapacá;IQUIQUE;27
2021;6;29;I Región de Tarapacá;ALTO HOSPICIO;1
2021;2;2;I Región de Tarapacá;IQUIQUE;24
2021;10;1;I Región de Tarapacá;COLCHANE;1
2021;10;26;I Región de Tarapacá;IQUIQUE;11
2021;7;29;I Región de Tarapacá;POZO ALMONTE;2
2021;7;20;I Región de Tarapacá;ALTO HOSPICIO;1
2021;2;11;I Región de Tarapacá;IQUIQUE;10
2021;1;25;I Región de Tarapacá;POZO ALMONTE;1
2021;5;18;I Región de Tarapacá;IQUIQUE;12
2021;4;12;I Región de Tarapacá;IQUIQUE;18
2021;10;8;I Región de Tarapacá;IQUIQUE;28
2021;8;18;I Región de Tarapacá;IQUIQUE;13
2021;7;14;I Región de Tarapacá;IQUIQUE;28
2021;8;30;I Región de Tarapacá;IQUIQUE;30
2021;10;4;I Región de Tarapacá;IQUIQUE;36
2021;6;14;I Región de Tarapacá;IQUIQUE;22
2021;11;19;I Región de Tarapacá;IQUIQUE;10
2021;12;10;I Región de Tarapacá;CAMIÑA;1
2021;3;1;I Región de Tarapacá;IQUIQUE;21
2021;2;17;I Región de Tarapacá;IQUIQUE;10
2021;1;29;I Región de Tarapacá;IQUIQUE;11
2021;5;28;I Región de Tarapacá;IQUIQUE;12
2021;9;14;I Región de Tarapacá;HUARA;1
2021;8;9;I Región de Tarapacá;ALTO HOSPICIO;1
2021;10;13;I Región de Tarapacá;IQUIQUE;21
2021;1;11;I Región de Tarapacá;IQUIQUE;22
2021;10;18;I Región de Tarapacá;IQUIQUE;20
2021;6;23;I Región de Tarapacá;IQUIQUE;15
2021;5;20;I Región de Tarapacá;IQUIQUE;15
2021;1;25;I Región de Tarapacá;IQUIQUE;27
2021;7;12;I Región de Tarapacá;IQUIQUE;25
2021;1;13;I Región de Tarapacá;IQUIQUE;21
2021;7;21;I Región de Tarapacá;ALTO HOSPICIO;1
2021;8;9;I Región de Tarapacá;IQUIQUE;31
2021;6;23;I Región de Tarapacá;POZO ALMONTE;1
2021;9;21;I Región de Tarapacá;IQUIQUE;30
2021;3;31;I Región de Tarapacá;ALTO HOSPICIO;1
2021;12;22;I Región de Tarapacá;IQUIQUE;24
2021;9;24;I Región de Tarapacá;IQUIQUE;13
2021;2;25;I Región de Tarapacá;IQUIQUE;12
2021;1;27;I Región de Tarapacá;IQUIQUE;11
2021;5;28;I Región de Tarapacá;POZO ALMONTE;1
2021;10;15;I Región de Tarapacá;IQUIQUE;18
2021;11;9;I Región de Tarapacá;IQUIQUE;16
2021;7;23;I Región de Tarapacá;IQUIQUE;10
2021;8;19;I Región de Tarapacá;IQUIQUE;12
2021;8;31;I Región de Tarapacá;IQUIQUE;22
2021;4;26;I Región de Tarapacá;IQUIQUE;20
2021;1;4;I Región de Tarapacá;IQUIQUE;28
2021;6;8;I Región de Tarapacá;IQUIQUE;17
2021;1;22;I Región de Tarapacá;IQUIQUE;12
2021;10;19;I Región de Tarapacá;IQUIQUE;14
2021;6;24;I Región de Tarapacá;IQUIQUE;23
2021;3;19;I Región de Tarapacá;POZO ALMONTE;1
2021;11;11;I Región de Tarapacá;IQUIQUE;15
2021;3;5;I Región de Tarapacá;IQUIQUE;9
2021;1;6;I Región de Tarapacá;IQUIQUE;17
2021;12;6;I Región de Tarapacá;IQUIQUE;38
2021;4;4;I Región de Tarapacá;IQUIQUE;3
2021;1;14;I Región de Tarapacá;IQUIQUE;19
2021;2;18;I Región de Tarapacá;IQUIQUE;9
2021;4;23;I Región de Tarapacá;IQUIQUE;10
2021;5;10;I Región de Tarapacá;COLCHANE;1
2021;9;20;I Región de Tarapacá;IQUIQUE;26
2021;9;3;I Región de Tarapacá;IQUIQUE;15
2021;5;6;I Región de Tarapacá;IQUIQUE;9
2021;11;10;I Región de Tarapacá;IQUIQUE;18
2021;8;13;I Región de Tarapacá;ALTO HOSPICIO;1
2021;6;11;I Región de Tarapacá;IQUIQUE;11
2021;12;20;I Región de Tarapacá;ALTO HOSPICIO;1
2021;10;22;I Región de Tarapacá;IQUIQUE;17
2021;6;9;I Región de Tarapacá;ALTO HOSPICIO;1
2021;1;5;I Región de Tarapacá;IQUIQUE;13
